name,length,num_reads,num_reads_primary,gc,ct
TcCLB.506407.60,8,458,345,0.25,0.625
TcCLB.506407.70,34,63,51,0.206,0.059
TcCLB.506407.80,98,65,19,0.378,0.245
TcCLB.506407.90,175,16,4,0.406,0.514
TcCLB.506409.10,285,40,23,0.547,0.425
TcCLB.506409.100,84,13,5,0.548,0.44
TcCLB.506409.110,NA,0,NA,0.57,0.489
TcCLB.506409.130,2608,50,36,0.566,0.512
TcCLB.506409.140,316,465,416,0.484,0.573
TcCLB.506409.170,214,23,5,0.304,0.664
TcCLB.506409.190,1027,42,16,0.57,0.566
TcCLB.506409.200,316,45,42,0.468,0.57
TcCLB.506409.220,168,103,53,0.327,0.363
TcCLB.506409.230,48,28,16,0.354,0.458
TcCLB.506409.240,128,63,15,0.461,0.281
TcCLB.506409.255,2882,163,111,0.493,0.493
TcCLB.506409.30,383,50,21,0.53,0.616
TcCLB.506409.50,314,202,174,0.478,0.564
TcCLB.506409.60,419,10,7,0.544,0.561
TcCLB.506409.70,56,1,1,0.518,0.375
TcCLB.506409.90,108,23,8,0.593,0.593
TcCLB.506411.10,577,37,15,0.341,0.471
TcCLB.506411.20,NA,0,NA,0.4,0.452
TcCLB.506411.25,26,4,2,0.5,0.308
TcCLB.506411.30,188,129,100,0.34,0.585
TcCLB.506411.39,NA,0,NA,NA,NA
TcCLB.506413.10,96,12,7,0.281,0.5
TcCLB.506413.20,3,1367,1108,0.333,0.333
TcCLB.506413.30,2,949,854,1,0.5
TcCLB.506413.40,62,125,112,0.452,0.129
TcCLB.506413.50,24,2,1,0.25,0.875
TcCLB.506413.60,83,11,6,0.373,0.566
TcCLB.506413.70,436,57,11,0.394,0.392
TcCLB.506413.80,129,45,9,0.357,0.504
TcCLB.506413.89,805,3,3,0.663,0.497
TcCLB.506431.20,41,20,10,0.341,0.268
TcCLB.506431.5,22,2,1,0.591,0.5
TcCLB.506455.10,127,70,66,0.441,0.457
TcCLB.506455.30,705,3077,1505,0.55,0.61
TcCLB.506457.10,136,481,235,0.493,0.301
TcCLB.506457.110,91,12,8,0.473,0.505
TcCLB.506457.120,118,9,3,0.517,0.373
TcCLB.506457.130,85,8,2,0.4,0.624
TcCLB.506457.140,196,1,1,0.342,0.622
TcCLB.506457.149,NA,0,NA,NA,NA
TcCLB.506457.20,121,7,2,0.521,0.364
TcCLB.506457.30,862,56,16,0.441,0.503
TcCLB.506457.4,97,31,6,0.546,0.32
TcCLB.506457.40,288,368,332,0.354,0.257
TcCLB.506457.50,192,1,1,0.255,0.458
TcCLB.506457.60,210,6,2,0.352,0.514
TcCLB.506457.70,148,13,7,0.426,0.399
TcCLB.506457.80,235,14,6,0.464,0.485
TcCLB.506457.90,514,21,3,0.407,0.549
TcCLB.506457.99,77,59,28,0.532,0.156
TcCLB.506463.10,84,3,3,0.405,0.702
TcCLB.506465.10,537,6,2,0.406,0.607
TcCLB.506465.14,74,9,2,0.446,0.419
TcCLB.506465.20,312,597,553,0.471,0.449
TcCLB.506465.30,362,13,9,0.395,0.448
TcCLB.506465.40,979,5,2,0.393,0.524
TcCLB.506465.5,62,25,7,0.242,0.387
TcCLB.506465.50,136,45,7,0.338,0.434
TcCLB.506467.10,362,447,229,0.37,0.561
TcCLB.506467.14,45,191,158,0.511,0.222
TcCLB.506467.20,153,20,4,0.549,0.497
TcCLB.506467.29,913,20,12,0.391,0.515
TcCLB.506467.4,31,45,12,0.194,0.032
TcCLB.506467.40,178,49,22,0.421,0.607
TcCLB.506467.50,511,18,7,0.503,0.556
TcCLB.506473.10,140,1,1,0.507,0.564
TcCLB.506473.14,NA,0,NA,0.363,0.581
TcCLB.506473.20,333,4,1,0.408,0.465
TcCLB.506473.4,1779,1,1,0.611,0.506
TcCLB.506473.6,18,5,2,0.333,0.5
TcCLB.506481.10,135,25,15,0.511,0.548
TcCLB.506481.20,49,12,4,0.163,0.224
TcCLB.506481.30,555,24,10,0.468,0.533
TcCLB.506481.39,NA,0,NA,NA,NA
TcCLB.506483.10,2554,23,12,0.579,0.514
TcCLB.506483.40,855,164,70,0.556,0.494
TcCLB.506483.60,106,9,5,0.283,0.575
TcCLB.506483.69,NA,0,NA,NA,NA
TcCLB.506487.24,385,7,2,0.544,0.519
TcCLB.506487.37,816,6,3,0.587,0.537
TcCLB.506487.50,474,585,580,0.576,0.584
TcCLB.506487.60,NA,0,NA,0.562,0.479
TcCLB.506493.100,206,11,5,0.422,0.408
TcCLB.506493.110,311,7,3,0.527,0.457
TcCLB.506493.20,102,9,7,0.451,0.529
TcCLB.506493.30,201,19,10,0.403,0.522
TcCLB.506493.40,110,10,2,0.509,0.345
TcCLB.506493.50,157,5,1,0.331,0.599
TcCLB.506493.60,149,7,7,0.483,0.456
TcCLB.506493.70,305,26,13,0.534,0.449
TcCLB.506493.80,477,364,129,0.428,0.463
TcCLB.506493.9,2,1,1,NA,NA
TcCLB.506493.90,107,53,34,0.393,0.29
TcCLB.506495.10,42,4,2,0.357,0.619
TcCLB.506495.20,51,11,5,0.294,0.353
TcCLB.506495.24,420,17,4,0.467,0.533
TcCLB.506495.3,467,9,4,NA,NA
TcCLB.506495.30,304,9,6,0.444,0.553
TcCLB.506495.40,496,121,36,0.373,0.556
TcCLB.506495.50,415,24,12,0.53,0.581
TcCLB.506495.6,47,17,12,0.404,0.447
TcCLB.506495.9,115,39,19,0.304,0.478
TcCLB.506499.10,NA,0,NA,0.563,0.563
TcCLB.506499.100,678,1,1,0.462,0.559
TcCLB.506499.105,872,786,520,0.51,0.584
TcCLB.506499.110,394,2,2,0.419,0.596
TcCLB.506499.120,NA,0,NA,0.533,0.515
TcCLB.506499.130,510,32,11,0.455,0.347
TcCLB.506499.140,311,25,21,0.556,0.605
TcCLB.506499.149,394,4,3,0.419,0.579
TcCLB.506499.160,368,56,32,0.546,0.609
TcCLB.506499.170,479,37,25,0.532,0.601
TcCLB.506499.180,NA,0,NA,0.481,0.559
TcCLB.506499.190,2381,3,2,0.56,0.568
TcCLB.506499.200,535,117,75,0.492,0.479
TcCLB.506499.210,375,43,15,0.541,0.608
TcCLB.506499.215,81,1,1,0.568,0.247
TcCLB.506499.220,807,241,214,0.466,0.618
TcCLB.506499.230,660,2,2,0.445,0.568
TcCLB.506499.30,388,83,78,0.472,0.588
TcCLB.506499.40,NA,0,NA,0.567,0.596
TcCLB.506499.50,667,8,8,0.594,0.481
TcCLB.506499.60,2221,8,4,0.537,0.478
TcCLB.506499.70,230,4,1,0.509,0.543
TcCLB.506499.80,3567,873,685,0.584,0.486
TcCLB.506499.90,3922,609,570,0.558,0.538
TcCLB.506501.10,NA,0,NA,0.574,0.596
TcCLB.506501.100,106,1,1,0.613,0.528
TcCLB.506501.105,NA,0,NA,0.593,0.489
TcCLB.506501.110,374,6,4,0.535,0.615
TcCLB.506501.120,85,6,4,0.541,0.447
TcCLB.506501.131,391,20,13,0.57,0.471
TcCLB.506501.141,128,3,2,0.562,0.43
TcCLB.506501.150,NA,0,NA,0.533,0.496
TcCLB.506501.160,376,20,4,0.527,0.609
TcCLB.506501.170,407,5,5,0.418,0.6
TcCLB.506501.177,708,8,3,0.452,0.516
TcCLB.506501.184,852,80,44,0.528,0.616
TcCLB.506501.190,369,2,1,0.444,0.577
TcCLB.506501.20,1469,75,72,0.58,0.484
TcCLB.506501.210,627,5,3,0.62,0.486
TcCLB.506501.220,174,7,3,0.563,0.586
TcCLB.506501.230,407,5,5,0.44,0.6
TcCLB.506501.240,373,25,12,0.536,0.617
TcCLB.506501.255,472,27,27,0.566,0.46
TcCLB.506501.27,NA,0,NA,0.604,0.378
TcCLB.506501.270,NA,0,NA,0.5,0.552
TcCLB.506501.275,673,2,2,0.559,0.522
TcCLB.506501.280,353,4,3,0.436,0.584
TcCLB.506501.290,752,17,6,0.512,0.618
TcCLB.506501.300,599,23,16,0.633,0.536
TcCLB.506501.310,428,46,42,0.54,0.481
TcCLB.506501.329,117,7,3,0.598,0.581
TcCLB.506501.34,758,14,6,0.559,0.524
TcCLB.506501.341,1383,8,3,0.575,0.471
TcCLB.506501.350,378,2,1,0.537,0.619
TcCLB.506501.370,880,133,64,0.581,0.488
TcCLB.506501.380,326,2,1,0.543,0.583
TcCLB.506501.390,81,10,4,0.556,0.457
TcCLB.506501.40,NA,0,NA,0.53,0.533
TcCLB.506501.401,NA,0,NA,0.574,0.456
TcCLB.506501.5,538,9,6,0.439,0.572
TcCLB.506501.50,364,23,14,0.538,0.613
TcCLB.506501.59,549,67,41,0.525,0.426
TcCLB.506501.70,NA,0,NA,0.504,0.559
TcCLB.506501.80,689,8,8,0.536,0.615
TcCLB.506501.90,195,3,3,0.621,0.477
TcCLB.506503.10,470,12,7,0.394,0.574
TcCLB.506503.110,59,69,10,0.356,0.254
TcCLB.506503.120,125,408,386,0.4,0.4
TcCLB.506503.140,983,14,4,0.47,0.492
TcCLB.506503.150,166,199,115,0.313,0.386
TcCLB.506503.160,63,236,99,0.238,0.317
TcCLB.506503.170,32,14,4,0.25,0.219
TcCLB.506503.30,472,97,85,0.398,0.636
TcCLB.506503.4,203,127,121,0.262,0.408
TcCLB.506503.40,338,3,1,0.402,0.518
TcCLB.506503.50,76,15,2,0.474,0.25
TcCLB.506503.53,400,14,11,0.368,0.578
TcCLB.506503.56,49,8,7,0.367,0.714
TcCLB.506503.60,236,14,5,0.394,0.496
TcCLB.506503.69,325,46,15,0.36,0.422
TcCLB.506503.80,303,53,38,0.389,0.578
TcCLB.506503.90,3267,140,122,0.416,0.497
TcCLB.506505.10,259,140,57,0.305,0.44
TcCLB.506505.30,1485,48,36,0.551,0.502
TcCLB.506505.40,1008,312,125,0.419,0.41
TcCLB.506505.50,141,94,70,0.418,0.56
TcCLB.506513.100,227,387,97,0.463,0.273
TcCLB.506513.110,126,50,21,0.452,0.516
TcCLB.506513.120,215,3,2,0.484,0.409
TcCLB.506513.130,73,93,29,0.356,0.205
TcCLB.506513.14,639,2,1,0.28,0.64
TcCLB.506513.150,922,13,3,0.412,0.576
TcCLB.506513.160,611,101,47,0.439,0.511
TcCLB.506513.170,666,7,6,0.497,0.508
TcCLB.506513.180,820,127,87,0.42,0.441
TcCLB.506513.190,258,14,6,0.446,0.442
TcCLB.506513.20,209,104,8,0.416,0.344
TcCLB.506513.200,977,162,15,0.456,0.404
TcCLB.506513.24,764,5,2,0.419,0.475
TcCLB.506513.30,65,3,1,0.4,0.738
TcCLB.506513.40,134,2,2,0.343,0.634
TcCLB.506513.50,254,99,70,0.417,0.48
TcCLB.506513.60,293,42,8,0.372,0.655
TcCLB.506513.7,268,42,12,0.459,0.373
TcCLB.506513.70,23,24,12,0.261,0.174
TcCLB.506513.80,57,1,1,0.614,0.316
TcCLB.506513.90,63,5,3,0.381,0.571
TcCLB.506515.10,519,26,6,0.503,0.451
TcCLB.506515.20,264,17,6,0.485,0.417
TcCLB.506515.29,NA,0,NA,0.576,0.524
TcCLB.506517.100,1856,64,52,0.564,0.491
TcCLB.506517.110,17,15,9,0.176,0.471
TcCLB.506517.130,48,10,10,0.271,0.625
TcCLB.506517.14,NA,0,NA,NA,NA
TcCLB.506517.140,229,11,4,0.467,0.537
TcCLB.506517.149,51,304,100,0.451,0.196
TcCLB.506517.158,862,189,52,0.436,0.371
TcCLB.506517.30,665,11,5,0.435,0.478
TcCLB.506517.40,702,10,3,0.342,0.538
TcCLB.506517.50,340,19,11,0.4,0.494
TcCLB.506519.100,39,11,4,0.385,0.692
TcCLB.506519.110,68,6,2,0.324,0.691
TcCLB.506519.120,37,106,28,0.324,0.243
TcCLB.506519.130,428,243,122,0.341,0.446
TcCLB.506519.140,531,260,211,0.343,0.531
TcCLB.506519.40,3148,1095,690,0.506,0.505
TcCLB.506519.51,NA,0,NA,0.348,0.559
TcCLB.506519.60,37,167,103,0.351,0.189
TcCLB.506519.70,182,25,6,0.324,0.56
TcCLB.506519.80,27,6,2,0.444,0.444
TcCLB.506519.90,132,13,6,0.485,0.371
TcCLB.506523.9,NA,0,NA,0.665,0.541
TcCLB.506525.10,54,2935,2048,0.278,0.13
TcCLB.506525.104,195,9,4,0.41,0.636
TcCLB.506525.120,2117,41,31,0.364,0.528
TcCLB.506525.130,459,94,56,0.403,0.444
TcCLB.506525.140,1202,88,60,0.327,0.504
TcCLB.506525.150,435,32,6,0.441,0.405
TcCLB.506525.162,724,27,5,0.423,0.41
TcCLB.506525.20,46,293,152,0.5,0.174
TcCLB.506525.30,63,2,1,0.556,0.349
TcCLB.506525.40,874,58,41,0.492,0.466
TcCLB.506525.45,17,18,13,0.588,0.529
TcCLB.506525.50,27,344,319,0.222,0.148
TcCLB.506525.70,311,192,118,0.347,0.598
TcCLB.506525.80,1074,46,33,0.43,0.453
TcCLB.506525.90,179,13,10,0.436,0.363
TcCLB.506527.10,267,36,14,0.393,0.543
TcCLB.506527.4,NA,0,NA,NA,NA
TcCLB.506529.100,861,18,14,0.341,0.509
TcCLB.506529.110,331,72,63,0.414,0.514
TcCLB.506529.120,204,48,17,0.343,0.515
TcCLB.506529.130,324,110,100,0.414,0.216
TcCLB.506529.14,NA,0,NA,0.594,0.471
TcCLB.506529.140,NA,0,NA,0.356,0.633
TcCLB.506529.150,710,15,7,0.476,0.508
TcCLB.506529.160,245,8,4,0.38,0.633
TcCLB.506529.170,83,7,5,0.41,0.651
TcCLB.506529.180,323,2,2,0.483,0.446
TcCLB.506529.190,484,2,1,0.403,0.628
TcCLB.506529.200,43,123,114,0.256,0.349
TcCLB.506529.220,458,1,1,0.38,0.627
TcCLB.506529.224,136,9,7,0.287,0.588
TcCLB.506529.230,146,2,2,0.404,0.301
TcCLB.506529.250,258,134,25,0.457,0.372
TcCLB.506529.260,695,59,35,0.347,0.514
TcCLB.506529.280,113,12,4,0.416,0.381
TcCLB.506529.290,366,59,34,0.448,0.478
TcCLB.506529.30,95,5,3,0.516,0.347
TcCLB.506529.300,381,19,4,0.415,0.425
TcCLB.506529.310,444,31,17,0.459,0.5
TcCLB.506529.314,674,98,56,0.451,0.49
TcCLB.506529.320,177,20,7,0.469,0.588
TcCLB.506529.324,123,12,4,0.382,0.488
TcCLB.506529.330,201,1,1,0.363,0.637
TcCLB.506529.340,330,3,1,0.567,0.412
TcCLB.506529.360,734,652,453,0.44,0.403
TcCLB.506529.370,NA,0,NA,0.407,0.556
TcCLB.506529.380,157,52,13,0.389,0.318
TcCLB.506529.40,17,106,42,0.176,0.059
TcCLB.506529.400,1051,28,2,0.455,0.529
TcCLB.506529.410,652,51,26,0.304,0.328
TcCLB.506529.420,435,26,13,0.384,0.478
TcCLB.506529.425,2,5,5,0.5,0
TcCLB.506529.430,559,55,25,0.431,0.383
TcCLB.506529.440,232,6,5,0.388,0.539
TcCLB.506529.460,98,104,63,0.378,0.378
TcCLB.506529.470,197,195,122,0.381,0.249
TcCLB.506529.480,277,124,67,0.314,0.444
TcCLB.506529.490,720,46,34,0.368,0.539
TcCLB.506529.50,84,37,10,0.381,0.143
TcCLB.506529.500,992,162,103,0.395,0.537
TcCLB.506529.508,59,2,1,0.339,0.339
TcCLB.506529.516,270,25,7,0.333,0.496
TcCLB.506529.524,36,17,12,0.361,0.583
TcCLB.506529.530,119,5,1,0.412,0.429
TcCLB.506529.535,230,1,1,0.413,0.57
TcCLB.506529.541,15,55,42,0.533,0.267
TcCLB.506529.546,249,3,2,0.643,0.55
TcCLB.506529.550,757,9,6,0.646,0.501
TcCLB.506529.590,613,10,6,0.338,0.561
TcCLB.506529.595,267,8,2,0.288,0.674
TcCLB.506529.60,NA,0,NA,0.396,0.593
TcCLB.506529.600,1222,172,62,0.349,0.469
TcCLB.506529.610,2075,51,7,0.364,0.551
TcCLB.506529.620,369,6,2,0.561,0.509
TcCLB.506529.640,500,165,52,0.436,0.266
TcCLB.506529.650,259,25,6,0.467,0.537
TcCLB.506529.660,136,8,3,0.522,0.39
TcCLB.506529.669,1059,50,29,0.6,0.53
TcCLB.506529.680,NA,0,NA,0.612,0.482
TcCLB.506529.70,545,1,1,0.292,0.545
TcCLB.506529.80,307,207,169,0.384,0.42
TcCLB.506529.90,2216,167,41,0.393,0.563
TcCLB.506531.20,16,2,1,0.438,0.438
TcCLB.506531.30,91,1,1,0.396,0.297
TcCLB.506531.40,118,4,2,0.458,0.508
TcCLB.506531.50,95,41,10,0.432,0.526
TcCLB.506531.60,379,62,32,0.562,0.377
TcCLB.506531.9,NA,0,NA,NA,NA
TcCLB.506533.106,743,84,17,0.532,0.55
TcCLB.506533.142,787,2032,1604,0.526,0.555
TcCLB.506533.34,NA,0,NA,0.653,0.406
TcCLB.506533.70,2855,35,12,0.515,0.49
TcCLB.506543.10,NA,0,NA,0.278,0.719
TcCLB.506543.100,889,72,23,0.368,0.459
TcCLB.506543.113,2417,25,10,0.357,0.506
TcCLB.506543.20,542,36,9,0.295,0.482
TcCLB.506543.30,353,22,11,0.428,0.569
TcCLB.506543.40,200,20,16,0.3,0.535
TcCLB.506543.50,163,20,8,0.589,0.509
TcCLB.506543.70,NA,0,NA,0.589,0.574
TcCLB.506543.90,232,12,4,0.517,0.315
TcCLB.506545.10,157,7,3,0.605,0.497
TcCLB.506545.5,225,354,75,0.498,0.564
TcCLB.506551.10,899,44,7,0.428,0.584
TcCLB.506553.10,142,10,7,0.415,0.606
TcCLB.506553.20,14,4,2,0.5,0.357
TcCLB.506553.30,105,18,5,0.371,0.657
TcCLB.506553.40,148,4,1,0.25,0.459
TcCLB.506563.10,406,4,1,0.421,0.478
TcCLB.506563.100,93,387,229,0.387,0.376
TcCLB.506563.110,1142,205,41,0.453,0.484
TcCLB.506563.120,362,57,12,0.307,0.644
TcCLB.506563.130,833,39,3,0.353,0.576
TcCLB.506563.160,505,26,4,0.408,0.56
TcCLB.506563.170,455,322,135,0.398,0.376
TcCLB.506563.180,52,247,40,0.442,0.192
TcCLB.506563.190,244,27,6,0.361,0.66
TcCLB.506563.20,167,4,2,0.479,0.533
TcCLB.506563.200,119,221,136,0.42,0.193
TcCLB.506563.210,1479,727,168,0.375,0.492
TcCLB.506563.220,784,1564,216,0.372,0.394
TcCLB.506563.30,477,69,49,0.44,0.455
TcCLB.506563.4,NA,0,NA,NA,NA
TcCLB.506563.40,288,259,51,0.514,0.497
TcCLB.506563.50,722,390,170,0.392,0.46
TcCLB.506563.60,140,8,4,0.486,0.564
TcCLB.506563.70,323,102,23,0.341,0.718
TcCLB.506563.79,899,428,139,0.402,0.539
TcCLB.506563.90,71,22,9,0.366,0.718
TcCLB.506565.12,238,271,219,0.374,0.496
TcCLB.506565.20,520,124,69,0.408,0.613
TcCLB.506565.29,42,1,1,0.429,0.31
TcCLB.506565.4,307,242,183,0.355,0.518
TcCLB.506565.8,418,178,55,0.407,0.545
TcCLB.506567.10,866,42,28,0.455,0.47
TcCLB.506567.100,278,20,6,0.421,0.626
TcCLB.506567.110,140,1,1,0.393,0.529
TcCLB.506567.120,268,16,8,0.328,0.549
TcCLB.506567.130,333,124,111,0.393,0.498
TcCLB.506567.134,49,3,1,0.204,0.449
TcCLB.506567.140,116,7,4,0.336,0.483
TcCLB.506567.20,33,8,2,0.455,0.364
TcCLB.506567.34,168,2,1,0.369,0.464
TcCLB.506567.50,72,15,2,0.333,0.611
TcCLB.506567.60,29,8,3,0.207,0.172
TcCLB.506567.70,97,21,7,0.381,0.619
TcCLB.506567.74,NA,0,NA,0.319,0.574
TcCLB.506567.77,1,3,3,1,0
TcCLB.506567.80,13,3,1,0.154,0.231
TcCLB.506567.90,337,7,2,0.469,0.478
TcCLB.506579.10,127,65,54,0.346,0.606
TcCLB.506579.100,96,11,3,0.354,0.354
TcCLB.506579.110,200,86,48,0.44,0.29
TcCLB.506579.119,344,94,30,0.407,0.596
TcCLB.506579.129,NA,0,NA,0.503,0.544
TcCLB.506579.20,341,25,6,0.493,0.513
TcCLB.506579.30,231,5,3,0.385,0.498
TcCLB.506579.40,129,19,5,0.372,0.721
TcCLB.506579.50,560,9,2,0.37,0.575
TcCLB.506579.60,6,3,1,0.667,0.333
TcCLB.506579.70,127,38,20,0.386,0.173
TcCLB.506579.80,NA,0,NA,0.474,0.5
TcCLB.506579.90,235,8,2,0.451,0.566
TcCLB.506591.10,371,1805,1734,0.504,0.536
TcCLB.506591.120,588,11,5,0.429,0.522
TcCLB.506591.130,506,12,5,0.658,0.506
TcCLB.506591.20,77,209,194,0.377,0.273
TcCLB.506591.30,459,32,21,0.44,0.549
TcCLB.506591.4,NA,0,NA,NA,NA
TcCLB.506591.50,115,7,2,0.522,0.557
TcCLB.506591.69,241,26,12,0.349,0.618
TcCLB.506591.81,1022,54,8,0.551,0.488
TcCLB.506591.90,20,6,3,0.45,0.55
TcCLB.506597.20,373,15,8,0.542,0.609
TcCLB.506597.30,367,15,6,0.428,0.594
TcCLB.506597.33,447,39,28,0.555,0.438
TcCLB.506597.36,127,80,50,0.441,0.339
TcCLB.506597.40,834,5,5,0.519,0.6
TcCLB.506597.51,873,18,9,0.525,0.507
TcCLB.506597.9,NA,0,NA,0.476,0.382
TcCLB.506599.10,NA,0,NA,0.537,0.507
TcCLB.506599.100,877,60,31,0.566,0.55
TcCLB.506599.120,450,18,6,0.496,0.502
TcCLB.506599.130,358,3,3,0.439,0.612
TcCLB.506599.150,3697,270,113,0.57,0.525
TcCLB.506599.170,2707,542,245,0.584,0.502
TcCLB.506599.189,342,899,837,0.45,0.465
TcCLB.506599.210,2822,44,13,0.543,0.51
TcCLB.506599.224,NA,0,NA,0.478,0.53
TcCLB.506599.240,903,244,41,0.515,0.514
TcCLB.506599.250,681,3,1,0.621,0.485
TcCLB.506599.270,84,9,9,0.512,0.44
TcCLB.506599.280,167,9,3,0.563,0.587
TcCLB.506599.30,356,55,18,0.522,0.601
TcCLB.506599.300,1757,300,245,0.626,0.469
TcCLB.506599.310,35,3,3,0.714,0.371
TcCLB.506599.315,872,6,3,0.526,0.493
TcCLB.506599.320,NA,0,NA,0.544,0.5
TcCLB.506599.330,113,9,4,0.619,0.584
TcCLB.506599.35,784,37,32,0.522,0.508
TcCLB.506599.350,NA,0,NA,0.485,0.515
TcCLB.506599.360,545,12,3,0.457,0.651
TcCLB.506599.380,1761,301,245,0.625,0.47
TcCLB.506599.390,315,48,45,0.559,0.6
TcCLB.506599.395,111,2,1,0.523,0.396
TcCLB.506599.40,471,5,5,0.567,0.539
TcCLB.506599.400,546,58,55,0.48,0.564
TcCLB.506599.420,1046,149,78,0.518,0.603
TcCLB.506599.430,417,6,5,0.434,0.597
TcCLB.506599.445,708,13,7,0.559,0.518
TcCLB.506599.50,863,12,5,0.511,0.627
TcCLB.506599.70,410,3,3,0.417,0.59
TcCLB.506599.80,113,23,21,0.637,0.593
TcCLB.506599.91,1373,21,4,0.581,0.473
TcCLB.506601.11,NA,0,NA,0.635,0.5
TcCLB.506601.21,NA,0,NA,0.578,0.381
TcCLB.506601.31,1160,2,2,0.571,0.493
TcCLB.506601.40,381,23,8,0.541,0.625
TcCLB.506601.51,419,1,1,0.453,0.606
TcCLB.506603.20,287,4,1,0.561,0.603
TcCLB.506603.29,117,27,19,0.504,0.376
TcCLB.506603.35,811,9,6,0.459,0.545
TcCLB.506603.40,728,95,35,0.547,0.609
TcCLB.506603.43,NA,0,NA,0.581,0.519
TcCLB.506603.46,81,3,2,0.457,0.358
TcCLB.506603.50,NA,0,NA,0.544,0.504
TcCLB.506605.10,387,81,41,0.401,0.261
TcCLB.506605.100,223,31,16,0.354,0.274
TcCLB.506605.120,78,468,60,0.487,0.205
TcCLB.506605.130,372,3,1,0.336,0.508
TcCLB.506605.139,155,18,4,0.374,0.555
TcCLB.506605.150,46,356,285,0.522,0.261
TcCLB.506605.160,457,15,4,0.387,0.525
TcCLB.506605.170,655,136,62,0.46,0.362
TcCLB.506605.174,570,13,5,0.454,0.532
TcCLB.506605.180,NA,0,NA,0.519,0.559
TcCLB.506605.190,165,3,1,0.442,0.461
TcCLB.506605.194,197,7,1,0.391,0.579
TcCLB.506605.200,525,10,3,0.501,0.509
TcCLB.506605.210,182,154,75,0.335,0.505
TcCLB.506605.214,549,174,42,0.452,0.523
TcCLB.506605.220,154,10,3,0.468,0.455
TcCLB.506605.229,1144,26,13,0.425,0.538
TcCLB.506605.30,604,17,4,0.507,0.497
TcCLB.506605.40,60,36,8,0.3,0.15
TcCLB.506605.50,572,223,69,0.502,0.336
TcCLB.506605.59,223,51,19,0.444,0.404
TcCLB.506605.70,390,17,14,0.426,0.6
TcCLB.506605.80,624,220,195,0.452,0.5
TcCLB.506605.90,79,6,2,0.481,0.215
TcCLB.506607.10,495,91,22,0.352,0.418
TcCLB.506607.19,NA,0,NA,NA,NA
TcCLB.506609.15,378,496,189,0.46,0.476
TcCLB.506609.30,765,3151,3149,0.519,0.637
TcCLB.506609.50,1223,8,2,0.527,0.528
TcCLB.506609.60,NA,0,NA,0.53,0.47
TcCLB.506609.70,373,21,5,0.544,0.614
TcCLB.506609.80,407,30,18,0.452,0.587
TcCLB.506609.93,NA,0,NA,0.526,0.57
TcCLB.506623.20,633,10274,10254,0.526,0.613
TcCLB.506623.30,626,112,86,0.514,0.481
TcCLB.506623.40,213,1,1,0.399,0.455
TcCLB.506623.60,701,1,1,0.491,0.526
TcCLB.506625.100,272,80,27,0.379,0.596
TcCLB.506625.110,947,210,105,0.439,0.483
TcCLB.506625.120,400,6,1,0.425,0.562
TcCLB.506625.130,135,3,2,0.393,0.519
TcCLB.506625.140,60,8,4,0.35,0.45
TcCLB.506625.150,43,8,4,0.372,0.442
TcCLB.506625.160,720,23,12,0.507,0.529
TcCLB.506625.180,191,19,9,0.419,0.613
TcCLB.506625.19,NA,0,NA,0.518,0.471
TcCLB.506625.190,103,1,1,0.291,0.845
TcCLB.506625.200,39,19,16,0.385,0.564
TcCLB.506625.210,53,45,20,0.302,0.792
TcCLB.506625.220,104,1,1,0.394,0.423
TcCLB.506625.230,507,12,3,0.339,0.574
TcCLB.506625.240,153,196,111,0.307,0.477
TcCLB.506625.249,NA,0,NA,0.541,0.5
TcCLB.506625.35,36,220,220,0.472,0.306
TcCLB.506625.50,1279,5,3,0.293,0.553
TcCLB.506625.60,NA,0,NA,0.341,0.552
TcCLB.506625.70,135,51,15,0.341,0.23
TcCLB.506625.80,239,6,4,0.381,0.603
TcCLB.506625.84,606,666,528,0.427,0.475
TcCLB.506625.90,8,12,7,0.5,0.375
TcCLB.506631.10,41,13,3,0.439,0.341
TcCLB.506631.20,612,8,2,0.363,0.526
TcCLB.506631.30,152,9,4,0.342,0.73
TcCLB.506631.40,304,7,1,0.345,0.612
TcCLB.506631.50,NA,0,NA,0.429,0.524
TcCLB.506633.10,725,18,8,0.361,0.578
TcCLB.506633.100,82,5,2,0.329,0.378
TcCLB.506633.109,NA,0,NA,NA,NA
TcCLB.506633.20,407,24,4,0.344,0.523
TcCLB.506633.30,3487,118,104,0.535,0.499
TcCLB.506633.74,297,148,82,0.461,0.603
TcCLB.506633.80,77,73,29,0.649,0.468
TcCLB.506633.90,104,8,2,0.692,0.606
TcCLB.506635.10,237,58,21,0.325,0.502
TcCLB.506635.100,12,21,17,0.417,0.25
TcCLB.506635.104,219,32,17,0.292,0.493
TcCLB.506635.110,1115,28,7,0.398,0.556
TcCLB.506635.120,423,54,16,0.449,0.466
TcCLB.506635.130,34,185,106,0.235,0.059
TcCLB.506635.139,140,45,22,0.536,0.564
TcCLB.506635.20,58,41,9,0.31,0.241
TcCLB.506635.30,139,109,37,0.417,0.345
TcCLB.506635.40,184,3,1,0.321,0.592
TcCLB.506635.44,60,86,29,0.6,0.25
TcCLB.506635.50,59,75,12,0.322,0.695
TcCLB.506635.60,570,31,13,0.381,0.572
TcCLB.506635.70,123,198,153,0.431,0.553
TcCLB.506635.80,17,319,118,0.235,0.118
