gene_id	gene_name	enc	cai
LmjF.18.0960	mannosyltransferase-II, putative (GPI18)	46.851	0.452
LmjF.18.0970	hypothetical protein, conserved	48.056	0.423
LmjF.18.0990	UDP-glucose pyrophosphorylase	37.595	0.597
LmjF.18.1000	hypothetical protein, conserved	41.451	0.506
LmjF.18.1020	hypothetical protein, unknown function	48.424	0.404
LmjF.18.1030	hypothetical protein, conserved	49.585	0.426
LmjF.18.1040	5-oxoprolinase, putative	38.129	0.587
LmjF.18.1050	hypothetical protein, conserved	44.376	0.482
LmjF.18.1060	calpain-like cysteine peptidase, putative	57.411	0.283
LmjF.18.1070	vacuolar protein sorting complex subunit, putative	53.846	0.381
LmjF.18.1080	protein kinase A catalytic subunit (PKAC1)	44.745	0.503
LmjF.18.1090	cAMP phosphodiesterase A, putative (PDEA)	45.001	0.509
LmjF.18.1100	hypothetical protein, conserved	45.462	0.423
LmjF.18.1110	methyltransferase, putative	46.185	0.449
LmjF.18.1120	hypothetical protein, conserved	48.707	0.44
LmjF.18.1130	ras-related protein rab-5, putative	42.031	0.513
LmjF.18.1140	hypothetical protein, conserved	46.175	0.469
LmjF.18.1150	hypothetical protein, conserved	43.218	0.518
LmjF.18.1170	hypothetical protein, conserved	42.344	0.559
LmjF.18.1180	hypothetical protein, conserved	48.971	0.424
LmjF.18.1190	hypothetical protein, conserved	51.305	0.387
LmjF.18.1200	hypothetical protein, conserved	49.549	0.45
LmjF.18.1210	prolyl-tRNA synthetase, putative	32.723	0.669
LmjF.18.1220	bifunctional aminoacyl-tRNA synthetase, putative	34.043	0.622
LmjF.18.1230	hypothetical protein, conserved	47.697	0.45
LmjF.18.1240	hypothetical protein, conserved	46.24	0.474
LmjF.18.1250	ttaggg binding factor, putative	48.575	0.42
LmjF.18.1260	hypothetical protein, conserved	39.302	0.576
LmjF.18.1265	hypothetical protein, conserved	38.42	0.58
LmjF.18.1270	hypothetical protein, conserved	38.42	0.58
LmjF.18.1275	hypothetical protein, conserved	38.788	0.575
LmjF.18.1280	hypothetical protein, conserved	38.403	0.58
LmjF.18.1285	hypothetical protein, conserved	38.42	0.58
LmjF.18.1290	hypothetical protein, conserved	38.788	0.575
LmjF.18.1300	hypothetical protein, conserved	40.001	0.564
LmjF.18.1310	hypothetical protein, conserved	50.692	0.414
LmjF.18.1320	hypothetical protein, conserved	41.198	0.542
LmjF.18.1330	cholinephosphate cytidylyltransferase A, putative	43.168	0.505
LmjF.18.1340	hypothetical protein, conserved	46.863	0.498
LmjF.18.1350	hypothetical protein, conserved	41.986	0.525
LmjF.18.1360	hypothetical protein, conserved	46.453	0.484
LmjF.18.1370	heat shock protein 110, putative	36.689	0.65
LmjF.18.1380	pyruvate dehydrogenase E1 component alpha subunit, putative	35.764	0.697
LmjF.18.1390	hypothetical protein, conserved	44.322	0.465
LmjF.18.1410	hypothetical protein, conserved	47.522	0.46
LmjF.18.1420	pumilio protein 2, putative (PUF2)	40.308	0.569
LmjF.18.1430	chaperone DNAJ protein, putative	48.168	0.434
LmjF.18.1440	hypothetical protein, conserved	46.081	0.487
LmjF.18.1450	hypothetical protein, conserved	44.923	0.472
LmjF.18.1460	hypothetical protein, conserved	43.107	0.496
LmjF.18.1470	hypothetical protein, conserved	43.763	0.511
LmjF.18.1480	NADH:ubiquinone oxidoreductase 78 Kd subunit- like protein	38.578	0.587
LmjF.18.1500	hypothetical protein, conserved	48.286	0.438
LmjF.18.1510	P-type H -ATPase, putative (H1A-1)	29.062	0.742
LmjF.18.1520	P-type H -ATPase, putative (H1A-2)	29.239	0.741
LmjF.18.1530	kinesin, putative	44.698	0.475
LmjF.18.1540	hypothetical protein, conserved	46.718	0.478
LmjF.18.1550	hypothetical protein, unknown function	43.871	0.462
LmjF.18.1560	hypothetical protein, conserved	46.323	0.447
LmjF.18.1580	nonspecific nucleoside hydrolase (NH)	43.151	0.558
LmjF.18.1590	hypothetical protein, unknown function	48.909	0.43
LmjF.18.1600	kinesin, putative	47.219	0.437
LmjF.18.1610	hypothetical protein, conserved	40.18	0.576
LmjF.18.1625	hypothetical protein, conserved	61.0	0.313
LmjF.18.1630	hypothetical protein, conserved	47.638	0.457
LmjF.18.1650	chaperone protein DNAj, putative	50.627	0.415
LmjF.18.1660	gamma-glutamylcysteine synthetase, putative (GSH1)	45.812	0.487
LmjF.18.1670	hypothetical protein, unknown function	50.548	0.393
LmjF.19.0010	Qb-SNARE protein, putative	45.214	0.423
LmjF.19.0020	hypothetical protein, conserved	37.953	0.602
LmjF.19.0060	40S ribosomal protein S2	36.298	0.66
LmjF.19.0070	peroxin 13, putative (PEX13)	44.493	0.499
LmjF.19.0080	hypothetical protein, conserved	44.444	0.468
LmjF.19.0090	hypothetical protein, conserved	46.01	0.528
LmjF.19.0100	fibrillarin, putative	39.717	0.579
LmjF.19.0120	QA-SNARE protein putative	49.998	0.382
LmjF.19.0130	hypothetical protein, conserved	47.728	0.517
LmjF.19.0140	protein kinase, putative	40.677	0.544
LmjF.19.0150	mitogen-activated protein kinase, putative	47.573	0.446
LmjF.19.0160	aminopeptidase, putative	37.614	0.612
LmjF.19.0170	hypothetical protein, conserved	42.895	0.502
LmjF.19.0180	mitogen activated protein kinase, putative (MPK9)	38.929	0.549
LmjF.19.0200	ADP,ATP carrier protein 1, mitochondrial precursor, putative (ANC1)	29.059	0.761
LmjF.19.0210	ADP,ATP carrier protein 1, mitochondrial precursor, putative (ANC2)	29.059	0.761
LmjF.19.0220	polyprenyl synthase, putative	46.377	0.449
LmjF.19.0230	hypothetical protein, conserved	44.415	0.527
LmjF.19.0240	hypothetical protein, conserved	42.663	0.526
LmjF.19.0250	hypothetical protein, conserved	45.709	0.466
LmjF.19.0260	C-terminal motor kinesin, putative	39.331	0.582
LmjF.19.0270	hypothetical protein, conserved	43.528	0.498
LmjF.19.0280	sarcalumenin precursor, putative	48.219	0.46
LmjF.19.0290	hypothetical protein, conserved	49.451	0.407
LmjF.19.0300	RNA binding protein, putative	36.794	0.608
LmjF.19.0310	membrane protein, putative	39.444	0.552
LmjF.19.0320	intraflagellar transport protein component, putative	38.878	0.564
LmjF.19.0330	hypothetical protein, conserved	36.271	0.62
LmjF.19.0340	hypothetical protein, conserved	40.18	0.545
LmjF.19.0350	lipoic acid synthetase, mitochondrial precursor, putative	40.344	0.566
LmjF.19.0360	protein kinase, putative	44.682	0.484
LmjF.19.0370	hypothetical protein, conserved	47.729	0.44
LmjF.19.0380	hypothetical protein, conserved	43.844	0.486
LmjF.19.0400	Qc-SNARE protein, putative	44.776	0.508
LmjF.19.0430	hypothetical protein, conserved	46.047	0.464
LmjF.19.0440	nucleosome assembly protein, putative	37.337	0.629
LmjF.19.0450	hypothetical protein, conserved	47.769	0.44
LmjF.19.0460	hypothetical protein, conserved	45.714	0.46
LmjF.19.0470	nuclear cap binding complex subunit CBP30, putative (CBP30)	43.557	0.53
LmjF.19.0490	hypothetical protein, conserved	45.527	0.465
LmjF.19.0500	hypothetical protein, conserved	45.516	0.464
LmjF.19.0510	hypothetical protein, conserved	51.098	0.407
LmjF.19.0520	hypothetical protein, conserved	40.136	0.495
LmjF.19.0530	hypothetical protein, conserved	45.63	0.47
LmjF.19.0540	hypothetical protein, conserved	41.96	0.561
LmjF.19.0550	methionine aminopeptidase, putative	40.319	0.533
LmjF.19.0560	hypothetical protein, conserved	46.647	0.458
LmjF.19.0570	hypothetical protein, conserved	42.573	0.542
LmjF.19.0580	hypothetical protein, conserved	47.23	0.459
LmjF.19.0590	protein kinase, putative	46.574	0.462
LmjF.19.0600	hypothetical protein, unknown function	48.742	0.442
LmjF.19.0620	hypothetical protein, conserved	44.903	0.495
LmjF.19.0640	extracellular receptor, putative	39.052	0.596
LmjF.19.0650	hypothetical protein, conserved	43.241	0.51
LmjF.19.0660	RNA-binding protein RPC40, putative	40.586	0.548
LmjF.19.0670	U3 snoRNA-associated protein UTP11, putative	43.68	0.501
LmjF.19.0680	kinesin, putative	38.49	0.584
LmjF.19.0690	kinesin, putative	39.059	0.555
LmjF.19.0700	kinesin, putative	46.815	0.457
LmjF.19.0710	glycosomal malate dehydrogenase (gMDH)	33.681	0.56
LmjF.19.0720	hypothetical protein, conserved	45.663	0.437
LmjF.19.0730	hypothetical protein, conserved	43.637	0.512
LmjF.19.0740	hypothetical protein, conserved	42.284	0.499
LmjF.19.0750	hypothetical protein, conserved	43.604	0.481
LmjF.19.0760	transporter, putative	45.431	0.482
LmjF.19.0770	SNARE protein, putative	42.211	0.497
LmjF.19.0780	hypothetical protein, conserved	38.931	0.548
LmjF.19.0790	signal recognition particle protein, putative	39.513	0.562
LmjF.19.0800	ABC transport system ATP-binding protein, putative (ABCF2)	35.026	0.67
LmjF.19.0810	vps53-like domain protein	41.347	0.556
LmjF.19.0920	folate/biopterin transporter, putative	41.755	0.561
LmjF.19.0930	hypothetical protein, conserved	53.149	0.372
LmjF.19.0940	hypothetical protein, conserved	49.026	0.42
LmjF.19.0950	hypothetical protein, conserved	46.564	0.446
LmjF.19.0970	peptidyl-prolyl cis-trans isomerase, macrophage infectivity potentiator precursor, putative	37.325	0.63
LmjF.19.0980	hypothetical protein, conserved	43.512	0.476
LmjF.19.0985	4-coumarate:coa ligase-like protein	34.617	0.648
LmjF.19.0995	4-coumarate:coa ligase-like protein	33.732	0.668
LmjF.19.1000	glycerol uptake protein, putative	43.393	0.538
LmjF.19.1005	4-coumarate:coa ligase-like protein	38.583	0.595
LmjF.19.1010	hypothetical protein, conserved	42.672	0.513
LmjF.19.1020	tRNA pseudouridine synthase A-like protein	45.044	0.483
LmjF.19.1030	hypothetical protein, conserved	40.155	0.485
LmjF.19.1040	phenylalanyl-tRNA synthetase, putative	35.139	0.632
LmjF.19.1050	hypothetical protein, unknown function	50.564	0.402
LmjF.19.1060	hypothetical protein, conserved	47.463	0.45
LmjF.19.1070	hypothetical protein, conserved	51.788	0.403
LmjF.19.1080	hypothetical protein, conserved	47.924	0.428
LmjF.19.1090	hypothetical protein, unknown function	50.915	0.402
LmjF.19.1100	hypothetical protein, conserved	48.629	0.428
LmjF.19.1110	mitochondrial carrier protein, putative	44.571	0.495
LmjF.19.1120	proteasome regulatory non-ATP-ase subunit, putative	38.476	0.593
LmjF.19.1130	hypothetical protein, conserved	45.461	0.457
LmjF.19.1140	hypothetical protein, unknown function	46.72	0.452
LmjF.19.1150	hypothetical protein, conserved	46.133	0.451
LmjF.19.1160	hypothetical protein, conserved	40.34	0.593
LmjF.19.1170	hypothetical protein, unknown function	51.142	0.39
LmjF.19.1180	hypothetical protein, conserved	49.891	0.398
LmjF.19.1200	actin-related protein 2, putative	45.614	0.446
LmjF.19.1210	hypothetical protein, conserved	40.246	0.569
LmjF.19.1220	hypothetical protein, conserved	38.942	0.533
LmjF.19.1230	hypothetical protein, conserved	44.849	0.455
LmjF.19.1240	hypothetical protein, conserved	47.577	0.432
LmjF.19.1250	peroxin 12, putative (PEX12)	42.669	0.492
LmjF.19.1270	RNA binding protein, putative	41.49	0.554
LmjF.19.1280	hypothetical protein, conserved	40.874	0.59
LmjF.19.1290	hypothetical protein, conserved	40.518	0.563
LmjF.19.1300	hypothetical protein, unknown function	47.879	0.422
LmjF.19.1310	hypothetical protein, conserved	53.088	0.371
LmjF.19.1320	glycerol uptake protein, putative	36.356	0.664
LmjF.19.1330	glycerol uptake protein, putative	41.463	0.55
LmjF.19.1340	glycerol uptake protein, putative	41.036	0.547
LmjF.19.1345	glycerol uptake protein, putative	41.161	0.544
LmjF.19.1347	hypothetical protein, conserved	46.971	0.457
LmjF.19.1350	phosphatidic acid phosphatase protein-like protein	46.146	0.456
LmjF.19.1370	hypothetical protein, conserved	53.444	0.359
LmjF.19.1380	cation transporter, putative	45.565	0.491
LmjF.19.1390	transcription initiation factor-like protein (TFIID-like protein)	45.153	0.515
LmjF.19.1400	hypothetical protein, conserved	37.037	0.704
LmjF.19.1410	hypothetical protein, conserved	48.282	0.432
LmjF.19.1420	cysteine peptidase A (CPA) (CPA)	39.76	0.589
LmjF.19.1430	hypothetical protein, conserved	56.045	0.274
LmjF.19.1440	mitogen activated protein kinase 4, putative (MPK4)	59.935	0.255
LmjF.19.1450	oxidoreductase-like protein	55.572	0.313
LmjF.19.1470	protein kinase, putative	52.44	0.381
LmjF.19.1480	eukaryotic translation initiation factor-like protein	51.802	0.397
LmjF.19.1490	hypothetical protein, conserved	48.261	0.456
LmjF.19.1500	eukaryotic translation initiation factor 4e, putative	51.802	0.397
LmjF.19.1510	hypothetical protein, conserved	48.261	0.456
LmjF.19.1520	hypothetical protein, conserved	48.871	0.438
LmjF.19.1530	FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase, putative	42.222	0.571
LmjF.19.1540	choline/Carnitine o-acyltransferase-like protein	45.132	0.502
LmjF.19.1550	hypothetical protein, conserved	43.373	0.51
LmjF.19.1560	inosine-5'-monophosphate dehydrogenase	35.891	0.643
LmjF.19.1570	hypothetical protein, unknown function	49.859	0.483
LmjF.19.1580	hypothetical protein, unknown function	52.269	0.389
LmjF.19.1590	ATP-dependent zinc metallopeptidase, putative	43.811	0.516
LmjF.19.1610	protein kinase, putative	49.663	0.416
LmjF.19.1620	potassium voltage-gated channel, putative	47.893	0.465
LmjF.19.1640	hypothetical protein, unknown function	49.641	0.412
LmjF.19.1650	GIPL galf transferase, putative (LPG1G2)	43.457	0.478
LmjF.20.0010	DNA-directed RNA polymerase polypeptide, putative	41.572	0.529
LmjF.20.0020	hypothetical protein, conserved	48.764	0.423
LmjF.20.0030	histone-lysine N-methyltransferase, putative (DOT1)	52.531	0.406
LmjF.20.0040	hypothetical protein, conserved	48.707	0.418
LmjF.20.0060	DNA repair protein BRCA2, putative	48.928	0.419
LmjF.20.0070	hypothetical protein, conserved	48.762	0.433
LmjF.20.0080	hypothetical protein, conserved	46.156	0.475
LmjF.20.0090	hypothetical protein, conserved	40.355	0.555
LmjF.20.0100	phosphoglycerate kinase C, glycosomal (PGKC)	35.849	0.634
LmjF.20.0110	phosphoglycerate kinase B, cytosolic (PGKB)	33.645	0.675
LmjF.20.0120	hypothetical protein, conserved	44.235	0.491
LmjF.20.0130	hypothetical protein, conserved	41.587	0.539
LmjF.20.0140	hypothetical protein, conserved	52.332	0.394
LmjF.20.0150	hypothetical protein	44.449	0.502
LmjF.20.0160	hypothetical protein, conserved	49.75	0.446
LmjF.20.0170	hypothetical protein, conserved	45.587	0.488
LmjF.20.0180	hypothetical protein, conserved	51.435	0.403
LmjF.20.0190	hypothetical protein, unknown function	49.268	0.382
LmjF.20.0200	hypothetical protein, conserved	49.315	0.416
LmjF.20.0210	hypothetical protein, conserved	51.675	0.414
LmjF.20.0220	hypothetical protein, conserved	46.136	0.456
LmjF.20.0240	hypothetical protein, conserved	42.918	0.558
LmjF.20.0250	deoxyhypusine synthase, putative	41.572	0.532
LmjF.20.0260	hypothetical protein, conserved	44.467	0.49
LmjF.20.0265	hypothetical protein, conserved	61.0	0.294
LmjF.20.0270	hypothetical protein, conserved	55.706	0.312
LmjF.20.0280	developmentally regulated phosphoprotein-like protein	50.792	0.389
LmjF.20.0290	hypothetical protein, conserved	47.112	0.438
LmjF.20.0300	hypothetical protein, conserved	46.841	0.463
LmjF.20.0320	hypothetical protein, conserved	47.239	0.441
LmjF.20.0330	hypothetical protein, conserved	51.331	0.392
LmjF.20.0340	hypothetical protein, conserved	50.146	0.428
LmjF.20.0346	hypothetical protein, conserved	54.059	0.35
LmjF.20.0350	hypothetical protein, conserved	43.681	0.505
LmjF.20.0355	hypothetical protein	50.76	0.353
LmjF.20.0360	hypothetical protein, conserved	38.89	0.556
LmjF.20.0370	hypothetical protein, conserved	40.143	0.549
LmjF.20.0375	hypothetical protein, conserved	40.291	0.544
LmjF.20.0380	hypothetical protein, unknown function	48.805	0.453
LmjF.20.0390	hypothetical protein, conserved	41.625	0.522
LmjF.20.0400	hypothetical protein, conserved	43.872	0.48
LmjF.20.0410	hypothetical protein, conserved	47.358	0.436
LmjF.20.0420	hypothetical protein, conserved	43.287	0.502
LmjF.20.0430	glycerol-3-phosphate dehydrogenase-like protein	48.943	0.427
LmjF.20.0440	hypothetical protein, unknown function	46.134	0.466
LmjF.20.0460	hypothetical protein, conserved	45.013	0.508
LmjF.20.0470	zeta tubulin, putative	45.367	0.439
LmjF.20.0480	hypothetical protein, conserved	44.335	0.463
LmjF.20.0500	hypothetical protein, conserved	43.364	0.503
LmjF.20.0510	hypothetical protein, conserved	39.293	0.553
LmjF.20.0520	hypothetical protein, conserved	46.13	0.452
LmjF.20.0540	hypothetical protein, conserved	37.703	0.568
LmjF.20.0550	chaperone protein DNAJ-like protein	45.829	0.436
LmjF.20.0560	cytidine triphosphate synthase, putative	40.115	0.579
LmjF.20.0570	hypothetical protein, unknown function	48.646	0.428
LmjF.20.0580	hypothetical protein	45.007	0.482
LmjF.20.0590	hypothetical protein, conserved	49.568	0.434
LmjF.20.0600	hypothetical protein, conserved	44.068	0.485
LmjF.20.0620	hypothetical protein, conserved	51.598	0.385
LmjF.20.0630	hypothetical protein, conserved	51.102	0.381
LmjF.20.0640	kinesin heavy chain, putative	44.649	0.478
LmjF.20.0650	rRNA biogenesis protein-like protein	40.907	0.531
LmjF.20.0660	serine/threonine protein phosphatase 2A regulatory subunit, putative	41.999	0.524
LmjF.20.0670	hypothetical protein, conserved	43.867	0.503
LmjF.20.0680	hypothetical protein, conserved	44.719	0.477
LmjF.20.0690	hypothetical protein, conserved	44.977	0.5
LmjF.20.0700	hypothetical protein, conserved	42.049	0.53
LmjF.20.0705	hypothetical protein, conserved	44.58	0.494
LmjF.20.0770	protein kinase, putative	45.765	0.461
LmjF.20.0780	hypothetical protein, conserved	44.05	0.518
LmjF.20.0790	tubulin-tyrosine ligase, putative	49.167	0.434
LmjF.20.0800	hypothetical protein, unknown function	45.565	0.458
LmjF.20.0810	N-ethylmaleimide-sensitive factor, putative	40.355	0.579
LmjF.20.0820	hypothetical protein, conserved	48.556	0.474
LmjF.20.0830	phosphopantetheinyl transferase-like protein	58.567	0.289
LmjF.20.0840	cytochrome c oxidase assembly factor-like protein	55.667	0.342
LmjF.20.0850	hypothetical protein, conserved	50.607	0.404
LmjF.20.0860	hypothetical protein, conserved	47.77	0.398
LmjF.20.0870	ATP-dependent RNA helicase, putative	48.304	0.424
LmjF.20.0880	hypothetical protein, conserved	45.391	0.511
LmjF.20.0890	hypothetical protein, conserved	45.185	0.462
LmjF.20.0900	RNA editing complex protein MP90, putative	48.109	0.428
LmjF.20.0910	hypothetical protein, conserved	43.928	0.423
LmjF.20.0920	hypothetical protein, conserved	41.96	0.533
LmjF.20.0930	hypothetical protein, conserved	46.501	0.457
LmjF.20.0940	cyclophilin 15, putative (CYP15)	45.685	0.478
LmjF.20.0950	hypothetical protein, conserved	48.017	0.428
LmjF.20.0960	protein kinase, putative	46.087	0.451
LmjF.20.0970	1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative	39.605	0.58
LmjF.20.0980	hypothetical protein, conserved	44.202	0.48
LmjF.20.0990	hypothetical protein, unknown function	50.277	0.412
LmjF.20.1000	hypothetical protein, conserved	49.371	0.393
LmjF.20.1020	hypothetical protein, unknown function	49.983	0.413
LmjF.20.1030	hypothetical protein, conserved	51.263	0.392
LmjF.20.1040	hypothetical protein, conserved	42.544	0.502
LmjF.20.1050	hypothetical protein, unknown function	48.923	0.431
LmjF.20.1060	hypothetical protein, unknown function	50.742	0.421
LmjF.20.1070	hypothetical protein, unknown function	50.715	0.367
LmjF.20.1080	hypothetical protein, conserved	47.052	0.449
LmjF.20.1090	hypothetical protein, conserved	46.406	0.446
LmjF.20.1100	hypothetical protein, conserved	51.187	0.402
LmjF.20.1110	hypothetical protein, conserved	46.569	0.47
LmjF.20.1120	phosphatidylinositol 3-kinase, putative	41.011	0.534
LmjF.20.1130	DNAj-like protein	39.281	0.564
LmjF.20.1140	hypothetical protein, conserved	46.032	0.508
LmjF.20.1150	hypothetical protein, conserved	44.821	0.465
LmjF.20.1160	hypothetical protein, conserved	47.638	0.436
LmjF.20.1170	endo-1,4-beta-xylanase z precursor-like protein	44.498	0.493
LmjF.20.1180	calpain-like cysteine peptidase, putative	34.168	0.629
LmjF.20.1185	calpain-like cysteine peptidase, putative	32.36	0.656
LmjF.20.1190	calpain-like cysteine peptidase, putative	35.938	0.643
LmjF.20.1200	calpain-like cysteine peptidase, putative	46.987	0.477
LmjF.20.1210	calpain-like cysteine peptidase, putative	47.183	0.46
LmjF.20.1240	hypothetical protein, conserved	46.088	0.468
LmjF.20.1250	hypothetical protein, conserved	45.665	0.498
LmjF.20.1260	hypothetical protein, unknown function	48.871	0.411
LmjF.20.1290	hypothetical protein, conserved	37.032	0.633
LmjF.20.1320	hypothetical protein, conserved	42.659	0.528
LmjF.20.1330	kinase-like protein	44.128	0.483
LmjF.20.1340	kinase-like protein	44.063	0.5
LmjF.20.1350	coatomer beta subunit, putative	36.686	0.62
LmjF.20.1360	RNasePH-like protein	42.77	0.487
LmjF.20.1365	pumillio protein 9, putative (PUF9A)	37.515	0.572
LmjF.20.1370	pumilio protein 9, putative (PUF9B)	34.07	0.614
LmjF.20.1380	hypothetical protein, conserved	48.416	0.436
LmjF.20.1390	hypothetical protein, conserved	49.544	0.416
LmjF.20.1400	axoneme central apparatus protein, putative	36.926	0.605
LmjF.20.1410	hypothetical protein, conserved	45.224	0.467
LmjF.20.1420	hypothetical protein, conserved	44.142	0.5
LmjF.20.1430	hypothetical protein, conserved	37.423	0.613
LmjF.20.1450	hypothetical protein, conserved	37.97	0.544
LmjF.20.1460	hypothetical protein, unknown function	41.611	0.498
LmjF.20.1470	hypothetical protein, unknown function	43.653	0.507
LmjF.20.1480	zinc-binding phosphatase, putative	40.215	0.554
LmjF.20.1490	hypothetical protein, conserved	40.528	0.523
LmjF.20.1500	hypothetical protein, conserved	44.98	0.488
LmjF.20.1510	hypothetical protein, conserved	43.42	0.478
LmjF.20.1520	hypothetical protein, conserved	44.309	0.473
LmjF.20.1530	cell division cycle protein-like protein	49.329	0.411
LmjF.20.1550	N-acyl-L-amino acid amidohydrolase, putative	43.023	0.514
LmjF.20.1560	N-acyl-L-amino acid amidohydrolase, putative	39.906	0.562
LmjF.20.1570	N-acyl-L-amino acid amidohydrolase, putative	38.673	0.58
LmjF.20.1580	hypothetical protein, conserved	46.723	0.466
LmjF.20.1600	hypothetical protein, conserved	52.493	0.382
LmjF.20.1610	hypothetical protein, conserved	61.0	0.274
LmjF.20.1620	hypothetical protein, conserved	55.253	0.38
LmjF.20.1630	hypothetical protein, conserved	44.078	0.474
LmjF.20.1640	SGT1-like protein, putative	37.373	0.626
LmjF.20.1660	hypothetical protein, conserved	43.183	0.511
LmjF.20.1670	ribosome biogenesis protein, putative	39.161	0.574
LmjF.20.1680	separin, putative	47.357	0.436
LmjF.20.1690	SNAP protein, putative	36.37	0.631
LmjF.20.1700	hypothetical protein, conserved	45.341	0.602
LmjF.20.1710	hypothetical protein, conserved	45.628	0.483
LmjF.20.1720	hypothetical protein, conserved	48.095	0.503
LmjF.20.1730	mitochondrial RNA ligase 2 (REL2)	46.602	0.463
LmjF.20.1740	hypothetical protein, conserved	50.752	0.437
LmjF.21.0010	phosphoglycan beta 1,3 galactosyltransferase 2 (SCG2)	49.885	0.405
LmjF.21.0020	hypothetical protein, conserved	61.0	0.289
LmjF.21.0027	hypothetical protein, conserved	59.842	0.285
LmjF.21.0030	hypothetical protein, conserved	56.386	0.382
LmjF.21.0040	hypothetical protein, conserved	54.098	0.345
LmjF.21.0050	Qb-SNARE protein, putative	51.141	0.353
LmjF.21.0055	hypothetical protein, conserved	55.202	0.37
LmjF.21.0060	hypothetical protein, conserved	51.022	0.411
LmjF.21.0070	hypothetical protein, conserved	50.704	0.33
LmjF.21.0080	hypothetical protein, conserved	47.644	0.488
LmjF.21.0120	calpain, putative	45.033	0.488
LmjF.21.0125	DNA topoisomerase 1A	41.049	0.548
LmjF.21.0130	serine/threonine protein kinase, putative	43.233	0.506
LmjF.21.0140	hypothetical protein, conserved	41.643	0.519
LmjF.21.0150	serine/threonine-protein kinase-like protein	42.64	0.505
LmjF.21.0160	hypothetical protein, conserved	45.776	0.439
LmjF.21.0170	hypothetical protein, conserved	41.175	0.522
LmjF.21.0180	hypothetical protein, conserved	40.116	0.557
LmjF.21.0190	hypothetical protein, conserved	40.042	0.545
LmjF.21.0200	major vault protein-like protein	40.185	0.553
LmjF.21.0210	hypothetical protein, conserved	43.933	0.462
LmjF.21.0230	actin-like protein, putative	44.014	0.465
LmjF.21.0240	hexokinase, putative	31.665	0.736
LmjF.21.0250	hexokinase, putative	31.673	0.736
LmjF.21.0260	hypothetical protein, conserved	37.365	0.583
LmjF.21.0270	protein kinase, putative	43.143	0.504
LmjF.21.0280	hypothetical protein, conserved	45.523	0.462
LmjF.21.0290	hypothetical protein, conserved	40.669	0.504
LmjF.21.0300	hypothetical protein, conserved	40.648	0.495
LmjF.21.0310	hypothetical protein, conserved	43.618	0.501
LmjF.21.0320	U1 small nuclear ribonucleoprotein C, putative	48.059	0.443
LmjF.21.0330	hypothetical protein, conserved	39.7	0.555
LmjF.21.0340	mitochondrial processing peptidase alpha subunit, putative	33.779	0.704
LmjF.21.0360	hypothetical protein, conserved	47.831	0.427
LmjF.21.0370	hypothetical protein, conserved	46.512	0.447
LmjF.21.0380	hypothetical protein, conserved	33.884	0.684
LmjF.21.0390	hypothetical protein, conserved	40.211	0.535
LmjF.21.0400	ubiquitin hydrolase, putative	38.452	0.606
LmjF.21.0410	argonaut-like protein, putative	43.915	0.484
LmjF.21.0420	ferredoxin NADP  reductase-like protein	43.928	0.51
LmjF.21.0430	hypothetical protein, conserved	38.155	0.625
LmjF.21.0440	ubiquitin-conjugating enzyme-like protein	34.97	0.663
LmjF.21.0450	hypothetical protein, unknown function	47.404	0.366
LmjF.21.0460	hypothetical protein, unknown function	47.283	0.443
LmjF.21.0470	vacuolar sorting-associated-like protein	41.924	0.534
LmjF.21.0480	hypothetical protein, conserved	47.475	0.47
LmjF.21.0490	DnaJ protein, putative	39.211	0.574
LmjF.21.0500	hypothetical protein, conserved	46.198	0.477
LmjF.21.0510	hypothetical protein, conserved	42.779	0.511
LmjF.21.0520	hypothetical protein, conserved	39.483	0.562
LmjF.21.0530	hypothetical protein, conserved	38.744	0.576
LmjF.21.0540	la RNA binding protein, putative	36.01	0.654
LmjF.21.0550	dihydrolipoamide acetyltransferase precursorlike protein	41.075	0.59
LmjF.21.0570	hypothetical protein, conserved	46.323	0.447
LmjF.21.0580	hypothetical protein, conserved	44.102	0.477
LmjF.21.0590	hypothetical protein, unknown function	48.909	0.418
LmjF.21.0600	hypothetical protein, conserved	52.133	0.393
LmjF.21.0610	RNA helicase, putative	40.902	0.566
LmjF.21.0620	DNA polymerase eta, putative	43.935	0.465
LmjF.21.0630	DNA polymerase eta, putative	43.686	0.457
LmjF.21.0640	phosphoglucomutase, putative	39.035	0.61
LmjF.21.0650	hypothetical protein, conserved	49.773	0.397
LmjF.21.0660	nucleotide-binding protein, putative	44.259	0.518
LmjF.21.0670	metallo-beta-lactamase family-like protein	47.133	0.486
LmjF.21.0680	histone deacetylase, putative	43.65	0.501
LmjF.21.0700	dual specificity protein phosphatase, putative	50.079	0.417
LmjF.21.0710	ATP-binding cassette protein subfamily E, member 1, putative (ABCE1)	43.631	0.537
LmjF.21.0720	hypothetical protein, conserved	56.935	0.313
LmjF.21.0725	hypothetical protein, conserved	58.77	0.26
LmjF.21.0750	hypothetical protein, conserved	51.037	0.4
LmjF.21.0760	proteasome regulatory non-ATP-ase subunit 5, putative	41.708	0.525
LmjF.21.0770	hypothetical protein, conserved	44.77	0.485
LmjF.21.0780	hypothetical protein, conserved	48.922	0.41
