gene_id,type,percent_disorder,average_dnds,fpkm,nc,gc,protein_length,gravy,cai,taxon
LmjF.17.0780,non-orphan,5.769230769,0.26739,69.8267,31.5,0.66,96,-0.52188,0.74,TRITRYP
LmjF.17.0800,non-orphan,24.34869739,0.11976,46.5877,40.5,0.6,938,-0.5935,0.497,TRITRYP
LmjF.17.0815,non-orphan,88.76404494,0.32633,10.8864,52.64,0.617,207,-1.06135,0.363,TRITRYP
LmjF.17.0840,non-orphan,36.19210978,0.30302,31.2005,50.32,0.558,523,-0.45755,0.298,TRITRYP
LmjF.17.0850,non-orphan,93.78531073,0.17602,30.5284,49.74,0.533,117,-1.02479,0.251,TRITRYP
LmjF.17.0860,non-orphan,71.98067633,0.61078,90.4263,51.46,0.56,147,-1.26123,0.334,TRITRYP
LmjF.17.0870,non-orphan,6.349206349,0.17207,102.658,44.76,0.555,444,-0.23941,0.427,TRITRYP
LmjF.17.0880,non-orphan,9.822866345,0.51547,25.9817,57.33,0.575,561,-0.19626,0.262,TRITRYP
LmjF.17.0890,non-orphan,3.488372093,0.54079,271.217,45.63,0.539,112,0.01696,0.418,TRITRYP
LmjF.17.0900,non-orphan,29.25170068,0.25544,19.8256,45,0.638,675,-0.14548,0.394,TRITRYP
LmjF.17.0910,non-orphan,2.234636872,0.25924,35.5093,39.09,0.612,477,-0.00839,0.479,TRITRYP
LmjF.17.0930,non-orphan,63.52941176,0.24631,16.3058,44.6,0.645,1300,-0.59923,0.364,TRITRYP
LmjF.17.0940,non-orphan,38.74113475,0.56807,12.3219,50.16,0.638,1068,-0.2573,0.322,TRITRYP
LmjF.17.0950,non-orphan,40.99153567,0.55411,22.3339,47.53,0.64,1594,-0.17986,0.352,TRITRYP
LmjF.17.1000,non-orphan,29.78453739,0.36688,11.9032,42.01,0.645,729,-0.12634,0.459,TRITRYP
LmjF.17.1010,non-orphan,7.304785894,0.40827,19.099,49.42,0.589,337,0.0178,0.344,TRITRYP
LmjF.17.1020,non-orphan,3.724928367,0.2012,22.3996,39.91,0.638,638,-0.28574,0.405,TRITRYP
LmjF.17.1030,non-orphan,46.48526077,0.18175,26.2237,40.3,0.627,822,-0.4292,0.473,TRITRYP
LmjF.17.1040,non-orphan,14.43089431,0.28662,15.0141,45.09,0.633,432,-0.12963,0.363,TRITRYP
LmjF.17.1050,non-orphan,20.22222222,0.26243,23.4047,42.65,0.615,390,0.02026,0.441,TRITRYP
LmjF.17.1060,non-orphan,32.60309278,0.36589,12.1397,47.29,0.636,716,-0.04567,0.347,TRITRYP
LmjF.17.1070,non-orphan,40.81632653,0.60554,16.0836,47.15,0.634,528,-0.17708,0.346,TRITRYP
LmjF.17.1080,non-orphan,28,0.55937,11.3521,47.49,0.645,740,-0.16703,0.335,TRITRYP
LmjF.17.1100,non-orphan,0.829187396,0.3738,15.72,41.63,0.647,543,0.24254,0.444,TRITRYP
LmjF.17.1110,non-orphan,20.60402685,0.12052,31.7976,41.19,0.619,1430,-0.39259,0.447,TRITRYP
LmjF.17.1120,non-orphan,5.056179775,0.06122,28.0914,38.1,0.644,118,-0.68136,0.514,TRITRYP
LmjF.17.1130,non-orphan,26.68759812,0.28647,7.528,46.93,0.671,1214,-0.16952,0.345,TRITRYP
LmjF.17.1140,non-orphan,69.5473251,0.41551,14.8003,45.15,0.657,1398,-0.56774,0.345,TRITRYP
LmjF.17.1150,non-orphan,21.56862745,0.29782,12.029,42.81,0.658,1164,-0.08625,0.404,TRITRYP
LmjF.17.1160,non-orphan,7.971014493,0.17576,10.7566,39.55,0.628,630,-0.11444,0.494,TRITRYP
LmjF.17.1230,non-orphan,16.1268556,0.1019,14.7855,37.48,0.632,1422,-0.07982,0.492,TRITRYP
LmjF.17.1260,non-orphan,28.46003899,0.30812,19.3677,46.7,0.631,453,0.04283,0.388,TRITRYP
LmjF.17.1270,non-orphan,0,0.05683,30.2057,36.82,0.623,317,-0.48233,0.553,TRITRYP
LmjF.17.1280,non-orphan,0,0.12079,39.7387,29.41,0.572,67,-0.01045,0.616,TRITRYP
LmjF.17.1300,non-orphan,12.09677419,0.06838,10.2697,40.53,0.608,188,-0.58989,0.457,TRITRYP
LmjF.17.1310,non-orphan,17.32851986,0.37809,9.9622,45.68,0.645,1048,-0.25725,0.368,TRITRYP
LmjF.17.1330,non-orphan,0.996677741,0.13422,19.9398,45.2,0.621,241,-0.32075,0.382,TRITRYP
LmjF.17.1350,non-orphan,27.61506276,0.42585,9.9264,45.1,0.648,179,0.09497,0.399,TRITRYP
LmjF.17.1375,non-orphan,3.191489362,0.23709,13.856,49.64,0.617,128,-0.27734,0.362,TRITRYP
LmjF.17.1380,non-orphan,26.06382979,0.42341,18.3394,46.21,0.631,692,-0.5922,0.321,TRITRYP
LmjF.17.1400,non-orphan,1.515151515,0.08317,25.5715,44.03,0.601,270,-0.12519,0.469,TRITRYP
LmjF.17.1420,non-orphan,20.50473186,0.08449,13.4705,50.51,0.588,257,-0.88911,0.321,TRITRYP
LmjF.17.1430,non-orphan,11.78571429,0.33034,18.0678,49.49,0.566,500,0.7708,0.359,TRITRYP
LmjF.17.1440,non-orphan,4.884667571,0.41329,19.4651,46.37,0.613,1414,0.44703,0.359,TRITRYP
LmjF.17.1450,non-orphan,5.677655678,0.27945,12.7096,50.26,0.585,486,-0.14568,0.317,TRITRYP
LmjF.18.0020,non-orphan,2.257336343,0.10854,39.9497,40.25,0.582,383,-0.19217,0.491,TRITRYP
LmjF.18.0030,non-orphan,10.89108911,0.39865,19.0192,57.21,0.584,344,-0.05233,0.281,TRITRYP
LmjF.18.0040,non-orphan,4.515050167,0.38874,20.8603,49.21,0.595,538,0.60874,0.353,TRITRYP
LmjF.18.0050,non-orphan,0.677637948,0.3243,4.7259,50.49,0.606,973,0.19496,0.317,TRITRYP
LmjF.18.0060,non-orphan,13.82488479,0.08813,23.5787,46.78,0.569,157,-0.47134,0.352,TRITRYP
LmjF.18.0070,non-orphan,50.70242656,0.2724,12.3527,50.84,0.633,723,-0.74551,0.332,TRITRYP
LmjF.18.0080,non-orphan,7.235621521,0.05207,34.6492,43.22,0.615,479,-0.41733,0.431,TRITRYP
LmjF.18.0100,non-orphan,7.632093933,0.26893,12.8848,45.91,0.63,451,-0.19579,0.368,TRITRYP
LmjF.18.0110,non-orphan,6.060606061,0.26992,18.8678,44.6,0.623,1491,0.03582,0.392,TRITRYP
LmjF.18.0120,non-orphan,18.71657754,0.1315,18.1987,49.23,0.535,127,-0.40079,0.32,TRITRYP
LmjF.18.0130,non-orphan,10.42780749,0.25674,33.3509,45.93,0.59,688,0.03881,0.383,TRITRYP
LmjF.18.0140,non-orphan,11.66253102,0.18784,20.3887,40.87,0.591,746,0.00027,0.461,TRITRYP
LmjF.18.0160,non-orphan,0.130718954,0.24946,16.6317,44.47,0.601,705,0.12922,0.414,TRITRYP
LmjF.18.0170,non-orphan,9.336609337,0.12692,8.6154,40.96,0.611,347,-0.3245,0.473,TRITRYP
LmjF.18.0180,non-orphan,28.92156863,0.25308,11.7294,45.69,0.615,348,-0.46695,0.363,TRITRYP
LmjF.18.0190,non-orphan,7.213930348,0.08879,6.9954,40.32,0.628,342,-0.18684,0.411,TRITRYP
LmjF.18.0200,non-orphan,2.903811252,0.10299,47.9856,41.79,0.61,491,-0.24888,0.467,TRITRYP
LmjF.18.0220,non-orphan,67.80383795,0.11697,31.4486,42.72,0.629,409,-0.67848,0.466,TRITRYP
LmjF.18.0230,non-orphan,30.72625698,0.07585,17.9967,38.78,0.605,298,-0.71141,0.527,TRITRYP
LmjF.18.0250,non-orphan,70.79207921,0.20571,10.338,44.13,0.613,142,-1.11479,0.422,TRITRYP
LmjF.18.0260,non-orphan,5.056179775,0.12104,14.1218,45.16,0.599,118,-0.40848,0.372,TRITRYP
LmjF.18.0280,non-orphan,9.421265141,0.29942,19.3429,45.58,0.629,683,-0.02079,0.392,TRITRYP
LmjF.18.0290,non-orphan,25.25252525,0.28143,17.3581,54.22,0.597,336,-0.17024,0.326,TRITRYP
LmjF.18.0300,non-orphan,39.43661972,0.22008,99.0648,39.77,0.641,366,-0.34481,0.496,TRITRYP
LmjF.18.0310,non-orphan,0,0.14765,15.8484,37.83,0.608,102,-0.76569,0.541,TRITRYP
LmjF.18.0320,non-orphan,3.938730853,0.14798,17.264,45.28,0.608,397,-0.28791,0.36,TRITRYP
LmjF.18.0330,non-orphan,30.92105263,0.14927,27.2636,41.89,0.628,244,-0.65902,0.441,TRITRYP
LmjF.18.0340,non-orphan,30.51224944,0.15507,19.1535,45.54,0.654,389,-0.52905,0.42,TRITRYP
LmjF.18.0370,non-orphan,9.351145038,0.04059,17.16,38.51,0.611,464,-0.49095,0.497,TRITRYP
LmjF.18.0380,non-orphan,4.705882353,0.08742,16.7277,38.54,0.629,1130,0.07327,0.504,TRITRYP
LmjF.18.0400,non-orphan,13.20450886,0.49115,28.7123,49.26,0.575,561,0.24635,0.347,TRITRYP
LmjF.18.0410,non-orphan,58.46153846,0.2754,27.6304,40.1,0.618,200,-0.788,0.463,TRITRYP
LmjF.18.0420,non-orphan,38.07106599,0.20026,33.7529,49.58,0.586,137,-0.80949,0.369,TRITRYP
LmjF.18.0430,non-orphan,44.5229682,0.84659,21.3023,44.16,0.616,223,-0.38072,0.376,TRITRYP
LmjF.18.0470,non-orphan,50.95447871,0.17662,21.0524,41.96,0.644,621,-0.39871,0.449,TRITRYP
LmjF.18.0490,non-orphan,9.482758621,0.44231,22.4404,47.08,0.612,288,-0.1507,0.357,TRITRYP
LmjF.18.0500,non-orphan,51.25,0.28182,14.0798,45.73,0.646,420,-0.2381,0.351,TRITRYP
LmjF.18.0520,non-orphan,75.86705202,0.53891,16.4894,48.55,0.654,632,-0.68639,0.313,TRITRYP
LmjF.18.0540,non-orphan,9.947643979,0.34719,34.2327,45.51,0.586,513,0.03021,0.384,TRITRYP
LmjF.18.0550,non-orphan,5.288461538,0.44843,42.5489,59.13,0.494,356,-0.56405,0.221,TRITRYP
LmjF.18.0570,non-orphan,9.964412811,0.29721,25.6843,56.45,0.517,1064,-0.1094,0.244,TRITRYP
LmjF.18.0580,non-orphan,6.266318538,0.25184,37.992,50.09,0.608,323,0.02136,0.295,TRITRYP
LmjF.18.0590,non-orphan,66.24737945,0.13351,26.0494,39.51,0.637,417,-0.43046,0.513,TRITRYP
LmjF.18.0600,non-orphan,63.2183908,0.19599,45.4352,44.61,0.647,636,-0.74371,0.418,TRITRYP
LmjF.18.0610,non-orphan,14.74164134,0.04601,29.4936,42.53,0.63,598,-0.21973,0.41,TRITRYP
LmjF.18.0640,non-orphan,1.208459215,0.00617,37.2867,40.72,0.592,271,-0.28524,0.504,TRITRYP
LmjF.18.0650,non-orphan,30.72421361,0.34404,12.35,45.11,0.659,1307,-0.12142,0.383,TRITRYP
LmjF.18.0700,non-orphan,14.9156939,0.08715,37.9996,43,0.62,711,0.01674,0.429,TRITRYP
LmjF.18.0720,non-orphan,27.11306257,0.36399,8.0307,48.9,0.642,851,-0.16064,0.333,TRITRYP
LmjF.18.0730,non-orphan,67.09677419,0.35946,25.6071,40.63,0.628,250,-0.3764,0.403,TRITRYP
LmjF.18.0760,non-orphan,50.64102564,0.13348,19.6428,31.18,0.632,96,-0.91771,0.482,TRITRYP
LmjF.18.0770,non-orphan,66.0011409,0.58145,14.47,48.92,0.642,1693,-0.39988,0.333,TRITRYP
LmjF.18.0790,non-orphan,23.6318408,0.17041,10.1732,40.63,0.626,342,-0.46521,0.416,TRITRYP
LmjF.18.0800,non-orphan,11.32075472,0.20396,21.0691,41.5,0.629,311,-0.43151,0.454,TRITRYP
LmjF.18.0810,non-orphan,0,0.17219,30.9355,45.57,0.598,415,0.69904,0.398,TRITRYP
LmjF.18.0860,non-orphan,38.65717192,0.37114,8.1283,46.85,0.658,923,-0.14767,0.352,TRITRYP
LmjF.18.0870,non-orphan,35.73825503,0.21531,20.1689,45.82,0.633,536,-0.27948,0.344,TRITRYP
LmjF.18.0900,non-orphan,11.67023555,0.22943,14.5675,46.62,0.64,874,0.04817,0.327,TRITRYP
LmjF.18.0910,non-orphan,24.44253859,0.40772,12.9302,47.03,0.65,1106,-0.16338,0.35,TRITRYP
LmjF.18.0950,non-orphan,40.09433962,0.42337,6.6793,51.12,0.64,364,-0.49121,0.299,TRITRYP
LmjF.18.0960,non-orphan,0.130890052,0.44596,17.1359,46.85,0.626,704,0.49048,0.363,TRITRYP
LmjF.18.0980,non-orphan,81.6,0.19352,12.9679,46.23,0.612,190,-1.03632,0.399,TRITRYP
LmjF.18.1000,non-orphan,0.788954635,0.17578,17.987,41.45,0.626,447,0.09418,0.408,TRITRYP
LmjF.18.1030,non-orphan,11.35005974,0.34425,32.2866,49.59,0.604,777,-0.25483,0.331,TRITRYP
LmjF.18.1050,non-orphan,23.55673524,0.27539,4.3445,44.38,0.641,1447,-0.25473,0.384,TRITRYP
LmjF.18.1060,non-orphan,0.35971223,0.46409,22.7865,57.41,0.476,774,-0.03824,0.217,TRITRYP
LmjF.18.1100,non-orphan,40.34482759,0.48979,29.4924,45.46,0.586,230,-0.45913,0.338,TRITRYP
LmjF.18.1140,non-orphan,60.7960199,0.23232,8.7247,46.17,0.65,945,-0.87524,0.364,TRITRYP
LmjF.18.1150,non-orphan,61.19047619,0.22545,37.4183,43.22,0.599,360,-0.75639,0.44,TRITRYP
LmjF.18.1160,non-orphan,1.183431953,0.10443,43.1335,42.33,0.593,109,0.43945,0.474,TRITRYP
LmjF.18.1170,non-orphan,1.526717557,0.04381,23.0878,42.34,0.624,202,-0.42426,0.471,TRITRYP
LmjF.18.1190,non-orphan,15.40195342,0.41978,19.8188,51.3,0.637,1271,-0.01039,0.291,TRITRYP
LmjF.18.1230,non-orphan,19.14580265,0.34393,10.87,47.7,0.646,619,-0.12036,0.36,TRITRYP
LmjF.18.1240,non-orphan,60.28880866,0.37024,13.1425,46.24,0.648,771,-0.31064,0.371,TRITRYP
LmjF.18.1250,non-orphan,69.04205607,0.661,13.1711,48.58,0.65,796,-0.33668,0.324,TRITRYP
LmjF.18.1300,non-orphan,6.25,0.21744,56.6454,40,0.632,308,0.2302,0.449,TRITRYP
LmjF.18.1310,non-orphan,35.83815029,0.60117,17.1885,50.69,0.627,805,-0.24559,0.322,TRITRYP
LmjF.18.1320,non-orphan,33.55134075,0.23972,46.5525,41.2,0.618,1469,-0.22988,0.458,TRITRYP
LmjF.18.1330,non-orphan,2.760736196,0.09408,30.4721,43.17,0.583,592,0.40557,0.416,TRITRYP
LmjF.18.1340,non-orphan,47.82608696,0.36213,63.4728,46.86,0.638,768,-0.22839,0.395,TRITRYP
LmjF.18.1350,non-orphan,52.89017341,0.20199,2.2949,41.99,0.618,632,-0.36266,0.432,TRITRYP
LmjF.18.1360,non-orphan,67.25490196,0.19332,18.301,46.45,0.637,960,-0.84198,0.381,TRITRYP
LmjF.18.1390,non-orphan,16.35220126,0.16065,19.5195,44.32,0.609,258,-0.41589,0.343,TRITRYP
LmjF.18.1430,non-orphan,61.74724343,0.48914,31.6277,48.17,0.651,1119,-0.7252,0.337,TRITRYP
LmjF.18.1440,non-orphan,5.460750853,0.19116,30.8548,46.08,0.574,233,-0.5309,0.38,TRITRYP
LmjF.18.1450,non-orphan,65.36561265,0.38103,20.6566,44.92,0.641,1964,-0.47398,0.377,TRITRYP
LmjF.18.1460,non-orphan,41.21900826,0.21628,16.2761,43.11,0.652,908,-0.43139,0.4,TRITRYP
LmjF.18.1470,non-orphan,6.84596577,0.16454,17.9596,43.76,0.615,349,-0.30602,0.41,TRITRYP
LmjF.18.1500,non-orphan,33.99638336,0.41876,17.2974,48.29,0.642,1046,-0.13882,0.348,TRITRYP
LmjF.18.1530,non-orphan,43.16436252,0.33944,13.9051,44.7,0.642,1242,-0.41168,0.378,TRITRYP
LmjF.18.1540,non-orphan,0.473933649,0.32236,15.7491,46.72,0.581,362,0.47735,0.378,TRITRYP
LmjF.18.1560,non-orphan,4.333868379,0.16424,16.3141,46.32,0.622,563,-0.10302,0.357,TRITRYP
LmjF.18.1570,non-orphan,0.934579439,0.07417,19.859,48.47,0.584,154,0.14286,0.325,TRITRYP
LmjF.18.1590,non-orphan,2.93040293,0.17814,23.1853,48.91,0.609,213,-0.09624,0.343,TRITRYP
LmjF.18.1600,non-orphan,33.76168224,0.26595,12.9138,47.22,0.627,796,-0.33493,0.345,TRITRYP
LmjF.18.1625,non-orphan,0,0.49732,29.1899,61,0.593,225,0.19245,0.244,TRITRYP
LmjF.18.1630,non-orphan,36.07594937,0.10908,19.8627,47.64,0.579,256,-0.62539,0.348,TRITRYP
LmjF.18.1640,non-orphan,16.29213483,0.10586,165.28,41.58,0.551,118,-0.28559,0.505,TRITRYP
LmjF.18.1650,non-orphan,7.5,0.34524,20.0956,50.63,0.614,580,-0.13741,0.321,TRITRYP
LmjF.19.0020,non-orphan,94.62025316,0.17939,56.4463,37.95,0.678,256,-0.67344,0.517,TRITRYP
LmjF.19.0070,non-orphan,20.91254753,0.26161,52.7591,44.49,0.616,466,-0.31652,0.398,TRITRYP
LmjF.19.0080,non-orphan,71.74796748,0.07786,61.4829,44.44,0.625,432,-1.4213,0.35,TRITRYP
LmjF.19.0090,non-orphan,42.76457883,0.17691,39.8334,46.01,0.605,403,-0.82035,0.445,TRITRYP
LmjF.19.0110,non-orphan,78.28054299,0.31429,88.0225,41.57,0.629,161,-0.54969,0.503,TRITRYP
LmjF.19.0120,non-orphan,17.30103806,0.29492,22.9079,50,0.576,229,-0.46769,0.296,TRITRYP
LmjF.19.0140,non-orphan,30.39073806,0.05068,38.3438,40.68,0.635,631,-0.36387,0.457,TRITRYP
LmjF.19.0150,non-orphan,0.294117647,0.01418,54.8844,47.57,0.56,280,-0.04857,0.364,TRITRYP
LmjF.19.0170,non-orphan,11.2830432,0.2654,27.4718,42.9,0.62,1491,0.20865,0.411,TRITRYP
LmjF.19.0220,non-orphan,1.87032419,0.26821,22.5717,46.38,0.573,742,-0.12318,0.362,TRITRYP
LmjF.19.0240,non-orphan,38.30369357,0.12831,14.2654,42.66,0.623,671,-0.3459,0.43,TRITRYP
LmjF.19.0250,non-orphan,16.04278075,0.27604,9.8457,45.71,0.613,875,-0.296,0.378,TRITRYP
LmjF.19.0260,non-orphan,27.25250278,0.13757,52.396,39.33,0.603,839,-0.49368,0.494,TRITRYP
LmjF.19.0270,non-orphan,72.67384917,0.22584,35.5107,43.53,0.654,961,-0.57804,0.392,TRITRYP
LmjF.19.0290,non-orphan,20,0.63575,6.6664,49.45,0.65,1370,-0.08453,0.321,TRITRYP
LmjF.19.0300,non-orphan,28.60962567,0.09607,44.7114,36.79,0.61,314,-0.67516,0.526,TRITRYP
LmjF.19.0320,non-orphan,19.53551913,0.10969,39.4653,38.88,0.633,672,-0.27485,0.479,TRITRYP
LmjF.19.0330,non-orphan,1.22324159,0.04005,35.0568,36.27,0.623,594,-0.13098,0.529,TRITRYP
LmjF.19.0340,non-orphan,24.32432432,0.17504,26.1819,40.18,0.642,458,-0.36485,0.457,TRITRYP
LmjF.19.0360,non-orphan,44.53125,0.44371,21.7321,44.68,0.64,1860,-0.21645,0.385,TRITRYP
LmjF.19.0410,non-orphan,58.15217391,0.05667,51.443,38.19,0.653,124,-0.48065,0.58,TRITRYP
LmjF.19.0430,non-orphan,22.45584525,0.35482,10.1799,46.05,0.648,1129,0.06758,0.365,TRITRYP
LmjF.19.0440,non-orphan,38.04878049,0.08848,34.8537,37.34,0.61,350,-0.752,0.553,TRITRYP
LmjF.19.0450,non-orphan,61.94251734,0.51617,15.8193,47.77,0.643,949,-0.49968,0.34,TRITRYP
LmjF.19.0460,non-orphan,48.16901408,0.2743,17.2528,45.71,0.663,295,-0.42068,0.374,TRITRYP
LmjF.19.0470,non-orphan,40.95238095,0.32443,19.6046,43.56,0.652,360,-0.35917,0.437,TRITRYP
LmjF.19.0490,non-orphan,25.91240876,0.19222,31.4707,45.53,0.607,214,0.00654,0.355,TRITRYP
LmjF.19.0500,non-orphan,82.17270195,0.33253,24.6808,45.52,0.676,299,-0.699,0.358,TRITRYP
LmjF.19.0510,non-orphan,63.55983163,0.74041,18.1018,51.1,0.651,1603,-0.35671,0.316,TRITRYP
LmjF.19.0520,non-orphan,28.93481717,0.35267,132.228,40.14,0.646,569,-0.64587,0.378,TRITRYP
LmjF.19.0530,non-orphan,40.81885856,0.31807,39.7168,45.63,0.651,746,-0.18351,0.386,TRITRYP
LmjF.19.0540,non-orphan,3.220338983,0.41385,18.6028,41.96,0.578,530,0.41736,0.495,TRITRYP
LmjF.19.0560,non-orphan,25.88480222,0.48281,23.601,46.65,0.647,1381,-0.10587,0.365,TRITRYP
LmjF.19.0590,non-orphan,60.75949367,0.44706,11.3322,46.57,0.65,1204,-0.34045,0.365,TRITRYP
LmjF.19.0610,non-orphan,0.653594771,0.59992,48.1141,44.27,0.591,93,0.72688,0.536,TRITRYP
LmjF.19.0620,non-orphan,7.950310559,0.21406,19.3248,44.9,0.623,745,-0.27047,0.408,TRITRYP
LmjF.19.0630,non-orphan,50.49019608,0.22834,144.361,42.65,0.623,144,-0.5,0.514,TRITRYP
LmjF.19.0640,non-orphan,0.32537961,0.1236,24.8737,39.05,0.603,862,0.14838,0.502,TRITRYP
LmjF.19.0650,non-orphan,30.21042084,0.18174,20.8829,43.24,0.663,1936,-0.08574,0.407,TRITRYP
LmjF.19.0690,non-orphan,32.3583181,0.16734,20.6558,39.06,0.609,1034,-0.80222,0.466,TRITRYP
LmjF.19.0710,non-orphan,0,0.07851,102.737,33.68,0.626,322,0.36025,0.487,TRITRYP
LmjF.19.0720,non-orphan,40.93406593,0.26576,23.0138,45.66,0.621,304,-0.70263,0.346,TRITRYP
LmjF.19.0750,non-orphan,14.43298969,0.35757,30.4519,43.6,0.626,522,-0.1477,0.393,TRITRYP
LmjF.19.0760,non-orphan,8.89292196,0.39125,37.4271,45.43,0.584,491,0.42912,0.388,TRITRYP
LmjF.19.0770,non-orphan,17.28813559,0.12096,20.4255,42.21,0.624,235,-0.30766,0.402,TRITRYP
LmjF.19.0780,non-orphan,6.08974359,0.13824,19.1103,38.93,0.628,252,-0.28611,0.458,TRITRYP
LmjF.19.0940,non-orphan,36.92307692,0.53108,11.9217,49.03,0.642,655,-0.40443,0.311,TRITRYP
LmjF.19.0960,non-orphan,0.581395349,0.0837,22.5813,37.75,0.58,112,-0.00536,0.448,TRITRYP
LmjF.19.0970,non-orphan,1.145038168,0.17294,31.7059,37.32,0.632,202,-0.3005,0.53,TRITRYP
LmjF.19.1010,non-orphan,42.67734554,0.25382,23.4149,42.67,0.634,814,-0.24435,0.416,TRITRYP
LmjF.19.1030,non-orphan,77.16763006,0.24111,12.6766,40.16,0.62,286,-0.95699,0.372,TRITRYP
LmjF.19.1070,non-orphan,28.16764133,0.58202,14.1695,51.79,0.62,966,-0.15124,0.312,TRITRYP
LmjF.19.1100,non-orphan,77.72133527,0.72912,25.5426,48.63,0.633,1318,-0.65577,0.332,TRITRYP
LmjF.19.1110,non-orphan,4.95049505,0.14302,15.5356,44.57,0.614,344,0.05814,0.403,TRITRYP
LmjF.19.1160,non-orphan,51.74825175,0.43991,83.7886,40.34,0.638,369,-0.81653,0.502,TRITRYP
LmjF.19.1200,non-orphan,3.982300885,0.29074,10.6907,45.61,0.624,392,-0.35102,0.337,TRITRYP
LmjF.19.1220,non-orphan,51.36986301,0.22752,10.5775,38.94,0.632,232,-1.07069,0.43,TRITRYP
LmjF.19.1230,non-orphan,34.41396509,0.20033,21.2673,44.85,0.635,341,-0.58416,0.365,TRITRYP
LmjF.19.1260,non-orphan,32.46753247,0.05055,12.6149,42.93,0.614,171,-0.85848,0.376,TRITRYP
LmjF.19.1270,non-orphan,39.02439024,0.2708,15.0412,41.49,0.634,227,-0.81498,0.455,TRITRYP
LmjF.19.1315,non-orphan,0,0.31466,30.3666,45.86,0.626,122,0.04098,0.373,TRITRYP
LmjF.19.1365,non-orphan,9.782608696,0.45728,30.398,48.78,0.583,124,0.12097,0.298,TRITRYP
LmjF.19.1370,non-orphan,40.25,0.70259,12.6677,53.44,0.605,740,-0.3877,0.276,TRITRYP
LmjF.19.1380,non-orphan,27.63744428,0.33605,37.4742,45.57,0.617,613,-0.03589,0.398,TRITRYP
LmjF.19.1400,non-orphan,1.388888889,0.13209,25.845,37.04,0.589,228,-0.51491,0.658,TRITRYP
LmjF.19.1410,non-orphan,16.01208459,0.33362,14.7401,48.28,0.612,933,-0.37053,0.344,TRITRYP
LmjF.19.1430,non-orphan,25.17647059,0.39316,15.7448,56.05,0.502,365,-0.20986,0.201,TRITRYP
LmjF.19.1450,non-orphan,6.52173913,0.34551,27.0427,55.57,0.549,584,-0.10497,0.249,TRITRYP
LmjF.19.1460,non-orphan,5.681818182,0.13109,20.4465,48.94,0.529,116,-0.90431,0.371,TRITRYP
LmjF.19.1470,non-orphan,16.29955947,0.3176,27.5314,52.44,0.576,621,-0.33833,0.32,TRITRYP
LmjF.19.1505,non-orphan,0,0.20254,22.4176,50.39,0.561,114,0.66754,0.255,TRITRYP
LmjF.19.1510,non-orphan,0,0.24381,42.8895,48.26,0.517,321,0.66106,0.389,TRITRYP
LmjF.19.1520,non-orphan,43.43195266,0.1892,12.6541,48.87,0.597,785,-0.69338,0.353,TRITRYP
LmjF.19.1540,non-orphan,6.918918919,0.13076,28.0753,45.13,0.611,865,-0.25387,0.414,TRITRYP
LmjF.19.1550,non-orphan,10.84598698,0.08987,22.124,43.37,0.615,401,-0.28579,0.427,TRITRYP
LmjF.19.1570,non-orphan,0,0.23549,21.3096,49.86,0.575,248,-0.10081,0.396,TRITRYP
LmjF.19.1590,non-orphan,19.14893617,0.1115,17.0983,43.81,0.631,598,-0.16355,0.435,TRITRYP
LmjF.19.1610,non-orphan,0,0.25987,9.9797,49.66,0.615,278,0.04245,0.333,TRITRYP
LmjF.19.1620,non-orphan,20.38043478,0.11674,17.1924,47.89,0.605,308,-0.34643,0.378,TRITRYP
LmjF.20.0030,non-orphan,27.72861357,0.19659,190.114,52.53,0.59,279,-0.27563,0.316,TRITRYP
LmjF.20.0040,non-orphan,7.571801567,0.70666,10.5429,48.71,0.614,323,-0.53251,0.304,TRITRYP
LmjF.20.0060,non-orphan,32.24489796,0.30769,13.096,48.93,0.626,1165,-0.13579,0.328,TRITRYP
LmjF.20.0070,non-orphan,8.745247148,0.16876,17.2958,48.76,0.593,203,-0.07882,0.349,TRITRYP
LmjF.20.0080,non-orphan,11.76470588,0.04965,37.4132,46.16,0.598,671,-0.09851,0.382,TRITRYP
LmjF.20.0090,non-orphan,8.803418803,0.15858,15.8002,40.36,0.58,1110,-0.02865,0.465,TRITRYP
LmjF.20.0120,non-orphan,3.571428571,0.21307,11.8756,44.24,0.622,556,0.11151,0.386,TRITRYP
LmjF.20.0130,non-orphan,23.80952381,0.13078,16.9508,41.59,0.607,444,-0.53761,0.454,TRITRYP
LmjF.20.0150,non-orphan,3.615702479,0.2018,17.1573,44.45,0.596,908,0.09989,0.403,TRITRYP
LmjF.20.0160,non-orphan,13.6416185,0.36196,11.742,49.75,0.623,805,-0.19429,0.365,TRITRYP
LmjF.20.0170,non-orphan,1.5,0.23862,25.9974,45.59,0.61,340,0.02618,0.424,TRITRYP
LmjF.20.0180,non-orphan,33.73101952,0.65215,14.7928,51.43,0.624,862,-0.29524,0.315,TRITRYP
LmjF.20.0200,non-orphan,7.04989154,0.48805,14.4315,49.32,0.629,862,0.13341,0.32,TRITRYP
LmjF.20.0210,non-orphan,3.773584906,0.26231,8.689,51.68,0.612,417,-0.13429,0.325,TRITRYP
LmjF.20.0220,non-orphan,3.865213082,0.36728,14.6243,46.14,0.64,949,0.17229,0.367,TRITRYP
